CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
Brc1n[nH]c2ccc(CNCc3ccccc3)cc12.C=CC(=O)OCCCC.CCCC=O|0>>CCCCOC(=O)CCC(CCC)N(Cc1ccccc1)Cc1ccc2[nH]nc(Br)c2c1
C=CC(=O)OC(C)(C)C.CC(C)(C)[B-](F)(F)F.FC(F)(F)c1cc(Br)ccn1.[K+]|28>>CC(C)(C)C[C@@H](C(=O)OC(C)(C)C)c1ccnc(C(F)(F)F)c1
C=Cc1ccccc1Br.CCOC(=O)C(F)(F)Br.CS(C)=O|0>>CCOC(=O)C(F)(F)CC(=O)c1ccccc1Br
C=Cc1ccc(SC)cc1.CO[n+]1ccc(C#N)cc1|0>>COCC(O)c1ccc(SC)cc1
COC(=O)c1sccc1[N+]#N.F[B-](F)(F)F.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|47>>COC(=O)c1sccc1S(=O)(=O)F
C=Cc1ccccc1O.CS(C)=CC(=O)c1ccc(Br)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F|26>>O=C(c1ccc(Br)cc1)[C@@H]1Oc2ccccc2C1CC(F)(F)F
C=C(C)c1ccccc1C(=O)O.F[B-](F)(F)F.N#[N+]c1ccccc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>CC1(CS(=O)(=O)c2ccccc2)OC(=O)c2ccccc21
Cc1ccc(CCC=O)o1.FC(F)(F)I.c1ccc(CNCc2ccccc2)cc1|4>>Cc1ccc(CC(CN(Cc2ccccc2)Cc2ccccc2)C(F)(F)F)o1
C=Cc1cccc(OC)c1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.OB(O)c1ccccc1|18>>COc1cccc(C(CCCCC#N)c2ccccc2)c1
C=Cc1ccc(C(C)(C)C)cc1.N#Cc1cc(F)ccn1|16>>C=C(c1ccc(C(C)(C)C)cc1)c1cc(F)ccn1
C/C=C/c1ccc(C)cc1.CCOC(=O)C(F)(F)Br.CS(C)=O|0>>CCOC(=O)C(F)(F)[C@@H](C)C(=O)c1ccc(C)cc1
O.O=S(=O)(Cl)c1ccc(Cl)cc1.c1ccc(C(=C2CC2)c2ccccc2)cc1|0>>O=S(=O)(c1ccc(Cl)cc1)C1(C(O)(c2ccccc2)c2ccccc2)CC1
C=C(C)c1ccccc1C(=O)O.F[B-](F)(F)F.N#[N+]c1ccc(F)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>CC1(CS(=O)(=O)c2ccc(F)cc2)OC(=O)c2ccccc21
C=CC=C.CC(C)=CCOc1c(C)cc(F)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3c(C)cc(F)cc32)cc1
C#Cc1ccccc1F.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O=O.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>O=C(CS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1F
C=Cc1ccc(C(C)(C)C)cc1.COc1ccccc1[N+]#N.F[B-](F)(F)F.N#C[S-].[NH4+]|0>>COc1ccccc1CC(SC#N)c1ccc(C(C)(C)C)cc1
CC(C)I.CCNCC.O=CCCc1ccccc1|8>>CCN(CC)C(CCc1ccccc1)C(C)C
C#Cc1cccc(OC)c1.O=O.OCC1CC1|6>>COc1cccc(C(=O)C(=O)OCC2CC2)c1
C=Cc1ccc(Cl)cc1.COC(=O)C(F)(F)S(=O)(=O)F.CS(C)=O|1>>COC(=O)C(F)(F)CC(=O)c1ccc(Cl)cc1
CS(C)=O.CSC#CCCCc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)(O)C(F)(F)F|0>>CS/C=C(/CCC(=O)c1ccccc1)C(F)(F)F
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.CC(=O)c1ccc(Br)cc1.N#Cc1ccc(S(=O)O[Na])cc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(C)=O)cc2)C(CS(=O)(=O)c2ccc(C#N)cc2)C1
C=CC/C(=N\O)c1ccc(C)cc1.C=Cc1ccccn1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>Cc1ccc(C2=NOC(CS(=O)(=O)CCc3ccccn3)C2)cc1
C=Cc1ccc(NC(C)=O)cc1.CO.F[B-](F)(F)F.c1ccc([I+]c2ccccc2)cc1|30>>COC(Cc1ccccc1)c1ccc(NC(C)=O)cc1
C=C(CBr)C(=O)OCC.CCCC[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>C=C(CS(=O)(=O)CCCC)C(=O)OCC
O.O=S(=O)(Cl)c1ccc(C(F)(F)F)cc1.c1ccc(C(=C2CC2)c2ccccc2)cc1|0>>O=S(=O)(c1ccc(C(F)(F)F)cc1)C1(C(O)(c2ccccc2)c2ccccc2)CC1
C=CC=C.CC(C)=CCOc1ccccc1Br.COc1ccc(O)cc1|0>>COc1ccc(OC/C=C/CC(C)(C)C2COc3ccccc32)cc1
C/C=C/C(=O)n1nc(C)cc1C.C1CCCCCCCCCCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|14>>Cc1cc(C)n(C(=O)C[C@@H](C)S(=O)(=O)C2CCCCCCCCCCC2)n1
C=C(C)c1ccccc1C(=O)O.F[B-](F)(F)F.N#[N+]c1ccc(Cl)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>CC1(CS(=O)(=O)c2ccc(Cl)cc2)OC(=O)c2ccccc21
C#Cc1ccc(Cl)cc1.O=O.OC1CCCCC1|6>>O=C(OC1CCCCC1)C(=O)c1ccc(Cl)cc1
C=Cc1ccc(OC)cc1.CCOC(=O)C(F)(F)Br.Cc1cccc2ccn(C)c12|0>>CCOC(=O)C(F)(F)CC(c1ccc(OC)cc1)c1cn(C)c2c(C)cccc12
F[B-](F)(F)F.N#[N+]c1ccc(I)cc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|47>>O=S(=O)(F)c1ccc(I)cc1
CCC(=NNS(=O)(=O)c1ccc(C)cc1)c1ccccc1.O=C=O.Sc1ccccc1|0>>CCC(Sc1ccccc1)(C(=O)O)c1ccccc1
C=C/C=C/c1ccccc1.C=CCCC(=O)O.CC(C)(C)OC(=O)ON=C1CCC1|9>>C=CCCC(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=CCCO[Si](C)(C)C(C)(C)C.CCOC(=O)C(F)(F)Br.Cc1ccc(S(=O)(=O)C#Cc2ccccc2)cc1|0>>CCOC(=O)C(F)(F)C[C@@H](C#Cc1ccccc1)CCO[Si](C)(C)C(C)(C)C
C=C(C)c1ccccc1C(=O)O.F[B-](F)(F)F.N#[N+]c1cccc(Br)c1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>CC1(CS(=O)(=O)c2cccc(Br)c2)OC(=O)c2ccccc21
CC(C)(C)OC(=O)NC(C)(C)C(=O)O.O=C1Oc2ccccc2[IH2]1C#Cc1ccccc1|4>>CC(C)(C#Cc1ccccc1)NC(=O)OC(C)(C)C
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.FC(F)(F)c1ccc(Br)cc1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(F)(F)F)cc2)C(CS(=O)(=O)c2ccccc2)C1
BrC1CCCCC1.C=C(c1ccccc1)c1ccccc1N.O=C=O|0>>O=C1Nc2ccccc2C(CC2CCCCC2)(c2ccccc2)O1
CC(C)(C)OO.CCCN.COC(=O)C#CC(=O)OC|0>>CCCNC(=O)C(=O)OC
C=Cc1cccc(F)c1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.OB(O)c1ccccc1|18>>N#CCCCCC(c1ccccc1)c1cccc(F)c1
C1CCCCC1.CC(=O)C1CCCCC1.c1ccc(Nc2ccccc2)cc1|4>>c1ccc(N(c2ccccc2)C(C2CCCCC2)C2CCCCC2)cc1
C=CCOc1ccccc1[N+]#N.CC(C)(C)O.F[B-](F)(F)F.[C-]#[O+]|43>>CC(C)(C)OC(=O)CC1COc2ccccc21
C#Cc1ccccc1C.CCOC(=O)C(Br)C(=O)OCC.COc1ccc(C#N)cc1.O|0>>CCOC(=O)C1(C(=O)OCC)C=C(c2ccccc2C)C(Nc2ccc(OC)cc2)O1
C=Cc1ccc(C#N)cc1.CC[SiH](CC)CC.O=C=O|0>>CC[Si](CC)(CC)CC(C(=O)O)c1ccc(C#N)cc1
C=C/C=C\CCc1ccccc1.CC(C)=CCOc1ccccc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C(/C=C/CC(C)(C)C2COc3ccccc32)CCc2ccccc2)cc1
C=Cc1cccc(-c2ccccc2)c1.Cc1ccc(S)cc1.O=C=O|27>>Cc1ccc(SC(CC(=O)O)c2cccc(-c3ccccc3)c2)cc1
C=Cc1ccc(C(C)(C)C)cc1.Cc1cc(C#N)ccn1|16>>C=C(c1ccc(C(C)(C)C)cc1)c1ccnc(C)c1
C1=C(c2ccccn2)CCCC1.C=Cc1ccc(OC)cc1|0>>COc1ccc(C2CC3CCCCC32c2ccccn2)cc1
Clc1ccc(C=C2CC2)cc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|2>>N#CCCCS(=O)(=O)C1=Cc2ccc(Cl)cc2CC1
C#CCCCCO.O=O.Oc1ccccc1|3>>O=C(CCCCO)c1ccc(O)cc1
C=Cc1ccc(C(C)(C)C)cc1.CS(C)=O.O=C(CBr)OCc1ccccc1|1>>CC(C)(C)c1ccc(C(=O)CCC(=O)OCc2ccccc2)cc1
C=C(C)CBr.CCCC[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>C=C(C)CS(=O)(=O)CCCC
C=Cc1ccccc1OC(C)=O.Cc1ccc(S(=O)(=O)OC(F)(F)F)cc1.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|32>>CC(=O)Oc1ccccc1C(CN=[N+]=[N-])OC(F)(F)F
CC#N.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O.[H]/C=C/c1ccccc1|0>>CC(=O)NC(Cc1ccc([N+](=O)[O-])cc1)c1ccccc1
CCOC(=O)Cc1ccc(NOC(=O)c2ccccc2)cc1.O=C(O)C1CCCCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|23>>CCOC(=O)Cc1ccc(NS(=O)(=O)C2CCCCC2)cc1
C1CCCCC1.CCCCC/C=C/C(=O)n1nc(C)cc1C.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|14>>CCCCC[C@H](CC(=O)n1nc(C)cc1C)S(=O)(=O)C1CCCCC1
C#C[C@](O)(CCC(C)C)c1cccs1.O=C(N=C1CCC1)Oc1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>CC(C)(/C=C/S(=O)(=O)CCCC#N)CCC(=O)c1cccs1
C=Cc1cc([N+](=O)[O-])ccc1O.CS(C)=CC(=O)c1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F|26>>O=C(c1ccccc1)[C@@H]1Oc2ccc([N+](=O)[O-])cc2C1CC(F)(F)F
C=Cc1ccc(Br)cc1.CC#N.Cc1ccc(C)c([S+](c2ccccc2C)C(F)F)c1.F[B-](F)(F)F.O|0>>CC(=O)NC(CC(F)F)c1ccc(Br)cc1
C/C=C/C(=O)n1nc(C)cc1C.C1CCCCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|14>>Cc1cc(C)n(C(=O)C[C@@H](C)S(=O)(=O)C2CCCCC2)n1
C=Cc1ccc2ccccc2c1.CCC=O.C[Si](C)(C)N=[N+]=[N-].FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>CCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
C#Cc1ccc2ccccc2c1.Nc1ccccn1.O=O|3>>O=C(Nc1ccccn1)c1ccc2ccccc2c1
C=C(C)c1ccccc1.CC(C)CS(=O)O[Na].N#Cc1ccncc1|0>>CC(C)CS(=O)(=O)CC(C)(c1ccccc1)c1ccncc1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.COc1ccc2cc(Br)ccc2c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc3cc(OC)ccc3c2)C(CS(=O)(=O)c2ccccc2)C1
C=C/C=C/c1ccc(OC)cc1.C[Si](C)(C)N=[N+]=[N-].Cc1cc(C)[n+](NC(=O)OC(C)(C)C)c(C)c1.F[B-](F)(F)F|1>>COc1ccc(/C=C/C(CNC(=O)OC(C)(C)C)N=[N+]=[N-])cc1
C#CC1=CCCCC1.O=O.Oc1ccccc1|3>>O=C(C1=CCCCC1)c1ccc(O)cc1
C=Cc1ccc(CCl)cc1.N#Cc1ccc(C(=O)ONC(=O)OCC(Cl)(Cl)Cl)cc1|1>>CC(=O)N(C(=O)c1ccc(C#N)cc1)C(CNC(=O)OCC(Cl)(Cl)Cl)c1ccc(CCl)cc1
FB(F)C1CCCCC1.Nc1ccccc1.O=Cc1ccc(Oc2ccccc2)cc1.[F-].[K+]|0>>c1ccc(NC(c2ccc(Oc3ccccc3)cc2)C2CCCCC2)cc1
COC(=O)CC(C)=O.N#CCC#N.O=C1Nc2ccc(F)cc2C1=O|0>>COC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1ccc(F)cc12
C=Cc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@H]2C(=O)CC[C@H]21.CCN(CC)CC.F.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1|0>>N#CCCCCC(F)c1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@H]2C(=O)CC[C@H]21
CN(C)c1ccccc1.Cc1ccc(S(=O)(=O)CC#N)cc1.O=C(O)c1ccccc1|0>>Cc1ccc(S(=O)(=O)CN(C(=O)CN(C)c2ccccc2)C(=O)c2ccccc2)cc1
CC(=O)OC(C)=O.CC(C)(C)C1=CC(=Cc2ccc3c(c2)OCO3)C=C(C(C)(C)C)C1=O.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|39>>CC(=O)Oc1c(C(C)(C)C)cc(C(c2ccc3c(c2)OCO3)S(=O)(=O)C2CCCC2)cc1C(C)(C)C
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)CCC1CCCCC1|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)CCC1CCCCC1
C=Cc1ccc2ccccc2c1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.OB(O)c1ccc2c3ccccc3n(-c3ccccc3)c2c1|18>>N#CCCCCC(c1ccc2ccccc2c1)c1ccc2c3ccccc3n(-c3ccccc3)c2c1
Cc1ccc(O)c(C)c1.Cn1ccc2ccccc21.[C-]#[O+]|0>>Cc1ccc(OC(=O)c2cn(C)c3ccccc23)c(C)c1
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.CSc1ccc(C=O)cc1.Nc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1ccc(F)cc1)c1ccc(SC)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1cccc(C)c1.F[B-](F)(F)F.O=S(O[K])OS(=O)O[K].OC1CCC([n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)CC1|0>>Cc1cccc(C(=O)CS(=O)(=O)C2CCC(O)CC2)c1
C#Cc1cccc(OC)c1.Cc1ccc(S(=O)(=O)N/N=C/c2cc(C)ccc2O)cc1.O=O|3>>COc1cccc(-c2cc3cc(C)ccc3oc2=O)c1
C=CC(=O)OC(C)(C)C.CC(C)(C)[B-](F)(F)F.Clc1ccc(Br)cc1Cl.[K+]|28>>CC(C)(C)C[C@@H](C(=O)OC(C)(C)C)c1ccc(Cl)c(Cl)c1
C=Cc1ccc(OC(C)=O)cc1.CS(C)=O.O=C1O[IH2](C(F)(F)F)c2ccccc21|0>>CC(=O)Oc1ccc(C(=O)CC(F)(F)F)cc1
CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1.O=C(ON1CCOCC1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>CC(C)(C)OC(=O)N1CCC(S(=O)(=O)N2CCOCC2)CC1
C=Cc1ccccc1NS(=O)(=O)c1ccc(C)cc1.CS(C)=CC(=O)c1ccc(F)cc1F.Cc1ccc(S(=O)(=O)Cl)cc1|0>>Cc1ccc(S(=O)(=O)C[C@H]2c3ccccc3N(S(=O)(=O)c3ccc(C)cc3)C2C(=O)c2ccc(F)cc2F)cc1
CCOC(=O)C(F)(F)F.COc1ccc(CCCC#CSC)cc1.CS(C)=O|0>>CCOC(=O)C(F)(F)/C(=C\SC)CCC(=O)c1ccc(OC)cc1
C=Cc1ccccc1.CC(C)(C)c1ccc(S)cc1.O=C=O|27>>CC(C)(C)c1ccc(SC(CC(=O)O)c2ccccc2)cc1
CC(C)(C)OO.CC(C)c1ccccc1N.CCOC(=O)C#CC(=O)OCC|0>>CCOC(=O)C(=O)Nc1ccccc1C(C)C
C=CCc1ccccc1.COc1ccc([N+]#N)cc1.C[Si](C)(C)N=[N+]=[N-].F[B-](F)(F)F|0>>COc1ccc(/N=N/C(CN=[N+]=[N-])Cc2ccccc2)cc1
CCOC(=O)C(F)(F)Br.Cc1ccc(C=O)cc1C.NN1CCOCC1|0>>CCOC(=O)C(F)(F)/C(=N/N1CCOCC1)c1ccc(C)c(C)c1
C=C(N=[N+]=[N-])c1ccccn1.CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C1CCCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>N/C(=C\S(=O)(=O)C1CCCCC1)c1ccccn1
C=Cc1ccccc1.Cc1ccccc1[N+]#N.Cn1c(=O)cnc2ccccc21.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|1>>Cc1ccccc1S(=O)(=O)CC(c1ccccc1)c1nc2ccccc2n(C)c1=O
C#Cc1cc(C)cc(C)c1.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>Cc1cc(C)cc(-c2cc3ccccc3oc2=O)c1
C=Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F[B-](F)(F)F.O|0>>Cc1ccc(S(=O)(=O)NCC(O)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1
C=C(c1ccccc1)c1ccccc1.CCOP(=O)(OCC)C(F)(F)Br.COc1ccc(N)cc1|19>>CCOP(=O)(OCC)C(F)(F)CC(Nc1ccc(OC)cc1)(c1ccccc1)c1ccccc1
C=Cc1cccc(F)c1C=O.C[Si](C)(C)N=[N+]=[N-].FC(F)(F)[s+]1c2ccccc2c2ccccc21|0>>[N-]=[N+]=NC1OC(CC(F)(F)F)c2cccc(F)c21
CC(C)I.O=C(OCc1ccccc1)N1CCNCC1.O=CCCc1ccccc1|8>>CC(C)C(CCc1ccccc1)N1CCN(C(=O)OCc2ccccc2)CC1
C=Cc1ccc(C(=O)O)cc1.CC[SiH](CC)CC.O=C=O|0>>CC[Si](CC)(CC)CC(C(=O)O)c1ccc(C(=O)O)cc1
Cc1ccc([N+]#N)cc1.F[B-](F)(F)F.N#Cc1c(C#Cc2ccccc2)cccc1-c1ccccc1.O=S(O[Na])OS(=O)O[Na]|2>>Cc1ccc(S(=O)(=O)C2=C(c3ccccc3)c3nc4ccccc4c4cccc2c34)cc1
Cc1ccc(OC(=O)C#Cc2ccccc2)cc1.F[B-](F)(F)F.N#[N+]c1cccc(Cl)c1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>Cc1ccc2c(-c3ccccc3)c(S(=O)(=O)c3cccc(Cl)c3)c(=O)oc2c1
C#Cc1ccccc1.CC(=O)c1ccc(Br)cc1.CC(C)(C)OC(=O)N1CCCC1C(=O)O|7>>CC(=O)c1ccc(/C(=C\C2CCCN2C(=O)OC(C)(C)C)c2ccccc2)cc1
C=Cc1ccccc1.COCCO.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>COCCOC(CC(F)(F)F)c1ccccc1
C=Cc1ccc(C(C)(C)C)cc1.Cc1ccc(CCC(=O)ON2C(=O)c3ccccc3C2=O)cc1|0>>Cc1ccc(CCCC(=O)c2ccc(C(C)(C)C)cc2)cc1
C=CCOc1ccc(C=O)cc1.Nc1ccccc1.OB(O)C1CCCC1|2>>C=CCOc1ccc(C(Nc2ccccc2)C2CCCC2)cc1
C=Cc1ccc(C(=O)NCCc2cn(C(=O)OC(C)(C)C)c3ccccc23)cc1.CC(C)(C)OC(=O)N1CCCC1.O=C=O|0>>CC(C)(C)OC(=O)N1CCCC1CC(C(=O)O)c1ccc(C(=O)NCCc2cn(C(=O)OC(C)(C)C)c3ccccc23)cc1
C=Cc1ccc(C(C)(C)C)cc1.Fc1ccc2c(c1)c1cc(F)ccc1[s+]2C(F)(F)F.O|0>>CC(C)(C)c1ccc(C(CC(F)(F)F)OC=O)cc1
C=Cc1ccc(Br)cc1.CO.F[B-](F)(F)F.c1ccc([I+]c2ccccc2)cc1|30>>COC(Cc1ccccc1)c1ccc(Br)cc1
COc1ccc(Br)cc1.Cc1ccccc1N.[C-]#[O+]|20>>COc1ccc(C(=O)Nc2ccccc2C)cc1
C=CC=C.CC(C)=CCOc1ccccc1Br.O=S(O[Na])c1ccc(OC(F)(F)F)cc1|0>>CC(C)(C/C=C/CS(=O)(=O)c1ccc(OC(F)(F)F)cc1)C1COc2ccccc21
C=Cc1ccccn1.CC(C)(C)OC(=O)/N=N/C(=O)OC(C)(C)C.O=S(O[Na])C(F)(F)F|0>>NNC(CC(F)(F)F)c1ccccn1
COc1ccc(N)cc1.C[Si](C)(C)C#Cc1ccc(C=O)cc1.IC1CCCCC1|10>>COc1ccc(NC(c2ccc(C#C[Si](C)(C)C)cc2)C2CCCCC2)cc1
C1CCOC1.CC(=O)c1ccc(C(C)(C)C)cc1.Nc1ccccc1|0>>CC(C)(C)c1ccc(C(Nc2ccccc2)C2CCCO2)cc1
C=CCC(CCc1ccccc1Cl)(C(=O)OCC)C(=O)OCC.CCOC(=O)C(F)(F)Br.CS(C)=O|38>>CCOC(=O)C(F)(F)CCCC(CC(=O)c1ccccc1Cl)(C(=O)OCC)C(=O)OCC
C#CCCCCCC.O=O.Oc1ccccc1|3>>CCCCCCC(=O)c1ccc(O)cc1
C=CC(=O)c1ccccc1.C=CC/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>Cc1ccc(S(=O)(=O)N2N=C(c3ccccc3)CC2CS(=O)(=O)CCC(=O)c2ccccc2)cc1
CCOC(=O)CC(=O)CC.N#CCC#N.O=C1Nc2ccc(Cl)cc2C1=O|0>>CCOC(=O)C1=C(CC)OC(N)=C(C#N)C12C(=O)Nc1ccc(Cl)cc12
C#Cc1ccccc1.CC(C)(C)c1ccc(S(=O)O[Na])cc1.N#Cc1ccc(Br)cc1|5>>CC(C)(C)c1ccc(S(=O)(=O)/C=C(\c2ccccc2)c2ccc(C#N)cc2)cc1
C=Cc1ccccc1NS(=O)(=O)c1ccc(C)cc1.CS(C)=CC(=O)c1ccccc1.O=S(=O)(Cl)c1ccc(F)cc1|0>>Cc1ccc(S(=O)(=O)N2c3ccccc3C(CS(=O)(=O)c3ccc(F)cc3)C2C(=O)c2ccccc2)cc1
CCCCCC(I)CC.COc1ccc(N)cc1.Cc1cccc(C=O)c1|10>>CCCCCC(CC)C(Nc1ccc(OC)cc1)c1cccc(C)c1
CC(C)(C)O.F[B-](F)(F)F.N#[N+]c1ccc(Cl)cc1.[C-]#[O+]|0>>CC(C)(C)OC(=O)c1ccc(Cl)cc1
C=C(CBr)c1ccccc1.CC(C)[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>C=C(CS(=O)(=O)C(C)C)c1ccccc1
CCOC(=O)C(F)(F)Br.NN1CCOCC1.O=Cc1ccccc1F|0>>CCOC(=O)C(F)(F)/C(=N/N1CCOCC1)c1ccccc1F
CC(=C1CC1)c1ccc(Br)cc1.Cc1ccc(S(=O)(=O)Cl)cc1|0>>C=C(c1ccc(Br)cc1)C1(S(=O)(=O)c2ccc(C)cc2)CC1
C=Cc1cccc(Br)c1.CO[n+]1ccc(C#N)cc1|0>>COCC(OC)c1cccc(Br)c1
CC(C)(C)NOC(=O)c1ccccc1.O=C(O)C1CCOCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>CC(C)(C)NS(=O)(=O)C1CCOCC1
C#Cc1ccc(C(C)(C)C)cc1.Cc1ccc(C(=O)O)cc1.Cc1ccc(S(=O)O[Na])cc1|15>>Cc1ccc(C(=O)O/C(=C\S(=O)(=O)c2ccc(C)cc2)c2ccc(C(C)(C)C)cc2)cc1
CC(C)I.CCOC(=O)C(=O)CCc1ccccc1.NC1CCOCC1|17>>CCOC(=O)[C@@](CCc1ccccc1)(NC1CCOCC1)C(C)C
C=C(C)c1ccc(C)cc1.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F[B-](F)(F)F|0>>CC1=NC(C)(c2ccc(C)cc2)CN1S(=O)(=O)c1ccc(C)cc1
C=Cc1ccc(Cl)cc1.CC#N.Cc1ccc([N+]#N)cc1.F[B-](F)(F)F.O.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>CC(=O)NC(CS(=O)(=O)c1ccc(C)cc1)c1ccc(Cl)cc1
C#Cc1ccccc1.Cc1cccc(N)n1.O=O|3>>Cc1cccc(NC(=O)c2ccccc2)n1
COc1ccc([N+]#N)cc1.Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|0>>COc1ccc(S(=O)(=O)Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1
C#Cc1cccs1.C=Cc1ccc(OC)cc1.COc1ccc(C(=O)ON=C2CCC2)cc1|6>>COc1ccc(C(C#Cc2cccs2)CCCCC#N)cc1
CCOC(=O)C(F)(F)F.CS(C)=O.CSC#CCCCc1ccc(Cl)cc1|0>>CCOC(=O)C(F)(F)/C(=C\SC)CCC(=O)c1ccc(Cl)cc1
O=C=O.O=S(O[Na])C(F)(F)F.[H]/C=C(/C)c1ccc(Cl)cc1|0>>CC(CC(F)(F)F)(C(=O)O)c1ccc(Cl)cc1
C=Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(C)cc1.CS(C)=CC(=O)c1ccc(F)cc1F.Cc1ccc(S(=O)(=O)Cl)cc1|0>>Cc1ccc(S(=O)(=O)C[C@H]2c3ccc(Cl)cc3N(S(=O)(=O)c3ccc(C)cc3)C2C(=O)c2ccc(F)cc2F)cc1
